name,type,category,rating,price,address,review_score,link,source
Tibebu Ethiopia Tour,tour agency,tour agency,4.9(14),,,,https://www.google.com/maps/place/Tibebu+Ethiopia+Tour/data=!4m7!3m6!1s0x44796cf0f1ede501:0xc39cb220b4f211b8!8m2!3d6.0108032!4d37.5476562!16s%2Fg%2F11vw_vf7nk!19sChIJAeXt8fBseUQRuBHytCCynMM?authuser=0&hl=am&rclk=1,Google Maps
Arba Minch Tour and car Rent,car rental,የመኪና ኪራይ ኤጀንሲ,5.0(5),,,,https://www.google.com/maps/place/Arba+Minch+Tour+and+car+Rent/data=!4m7!3m6!1s0x17babd538900826b:0xe2c93351ec81e7e9!8m2!3d6.0236616!4d37.5556683!16s%2Fg%2F11vt65y12z!19sChIJa4IAiVO9uhcR6eeB7FEzyeI?authuser=0&hl=am&rclk=1,Google Maps
Arba Minch Tourist Car Rental Agency,car rental,car rental,5.0(2),,,,https://www.google.com/maps/place/Arba+Minch+Tourist+Car+Rental+Agency/data=!4m7!3m6!1s0x17babd5c2c52528f:0xf2fb5afc4ecb1b99!8m2!3d6.0231231!4d37.5528664!16s%2Fg%2F11t2zcm6ys!19sChIJj1JSLFy9uhcRmRvLTvxa-_I?authuser=0&hl=am&rclk=1,Google Maps
Arbaminch car rental,car rental,ምንም ግምገማዎች የሉም,N/A,,,,https://www.google.com/maps/place/Arbaminch+car+rental/data=!4m7!3m6!1s0x17babb001dfc0691:0xee919f57f49e4ea1!8m2!3d6.0112154!4d37.5389404!16s%2Fg%2F11zk1mz6_7!19sChIJkQb8HQC7uhcRoU6e9Fefke4?authuser=0&hl=am&rclk=1,Google Maps
Tamrat Car Rent and Tour,car rental,የመኪና ኪራይ ኤጀንሲ,4.8(5),,,,https://www.google.com/maps/place/Tamrat+Car+Rent+and+Tour/data=!4m7!3m6!1s0x17babd08f19b6c17:0x845e538ccc08bc40!8m2!3d6.0340068!4d37.5587813!16s%2Fg%2F11x7mc4529!19sChIJF2yb8Qi9uhcRQLwIzIxTXoQ?authuser=0&hl=am&rclk=1,Google Maps
Car Rental Arbaminch and Tour,car rental,የመኪና ኪራይ ኤጀንሲ,5.0(6),,,,https://www.google.com/maps/place/Car+Rental+Arbaminch+and+Tour/data=!4m7!3m6!1s0x17babdb642d5fc23:0x33127776bfe8836b!8m2!3d6.0326732!4d37.5579779!16s%2Fg%2F11vyyslyx_!19sChIJI_zVQra9uhcRa4Pov3Z3EjM?authuser=0&hl=am&rclk=1,Google Maps
South region Arba minch,car rental,ምንም ግምገማዎች የሉም,N/A,,,,https://www.google.com/maps/place/South+region+Arba+minch/data=!4m7!3m6!1s0x17babb00087cd987:0x653c8599a863c862!8m2!3d6.008814!4d37.5484193!16s%2Fg%2F11yczsfq9t!19sChIJh9l8CAC7uhcRYshjqJmFPGU?authuser=0&hl=am&rclk=1,Google Maps
Arba Minch Tour And Travel,car rental,የመኪና ኪራይ ኤጀንሲ · ,4.3(16),,,,https://www.google.com/maps/place/Arba+Minch+Tour+And+Travel/data=!4m7!3m6!1s0x17babb381a9c71e3:0xdf85df73ac26116a!8m2!3d6.0078288!4d37.5378658!16s%2Fg%2F11h0cwm1p4!19sChIJ43GcGji7uhcRahEmrHPfhd8?authuser=0&hl=am&rclk=1,Google Maps
Driver guide Arbaminch,car rental,የመኪና ኪራይ ኤጀንሲ · ,5.0(15),,,,https://www.google.com/maps/place/Driver+guide+Arbaminch/data=!4m7!3m6!1s0x17babd0d43145bc9:0x1ea81a98ab4b4600!8m2!3d6.0127611!4d37.5569166!16s%2Fg%2F11v0ms5nvf!19sChIJyVsUQw29uhcRAEZLq5gaqB4?authuser=0&hl=am&rclk=1,Google Maps
Wegders Omo Valley Tour & Car rent,car rental,ምንም ግምገማዎች የሉም,N/A,,,,https://www.google.com/maps/place/Wegders+Omo+Valley+Tour+%26+Car+rent/data=!4m7!3m6!1s0x17a39bf10cf21dbb:0xafd400faa0ae7188!8m2!3d6.0127922!4d37.5566946!16s%2Fg%2F11x7mp0qm9!19sChIJux3yDPGboxcRiHGuoPoA1K8?authuser=0&hl=am&rclk=1,Google Maps
Crystal Hotel,hotel,,N/A,,,,,TripAdvisor
Hotel Asmara Palace,hotel,,N/A,,,,,TripAdvisor
Albergo Italia,hotel,,N/A,,,,,TripAdvisor
Sunshine Hotel Asmara,hotel,,N/A,,,,,TripAdvisor
Sarina Hotel,hotel,,N/A,,,,,TripAdvisor
New Costina Hotel,hotel,,N/A,,,,,TripAdvisor
Tekilu Keto,accommodation,,N/A,US$10,Arba Minch,N/A,https://www.booking.com/hotel/et/tekilu-keto.html?aid=304142&label=gen173nr-10CAQoggJCG3NlYXJjaF9hcmJhIG1pbmNoLCBldGhpb3BpYUgzWARoR4gBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCgM6QzQbAAgHSAiQ2YmQ2OTQ1Ni05NTU4LTRjMTQtYTkwNC1lMWFmOGZiNWRhZWLYAgHgAgE&ucfs=1&arphpl=1&checkin=2026-03-15&checkout=2026-03-16&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=0acd52c02f43013f&srepoch=1772365572&all_sr_blocks=1536407204_425117862_2_1_0&highlighted_blocks=1536407204_425117862_2_1_0&matching_block_id=1536407204_425117862_2_1_0&sr_pri_blocks=1536407204_425117862_2_1_0__1020&from=searchresults,Booking.com
Heaven Guest House,accommodation,,N/A,US$57,Arba Minch,N/A,https://www.booking.com/hotel/et/heaven-guest-house-arba-minch2.html?aid=304142&label=gen173nr-10CAQoggJCG3NlYXJjaF9hcmJhIG1pbmNoLCBldGhpb3BpYUgzWARoR4gBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCgM6QzQbAAgHSAiQ2YmQ2OTQ1Ni05NTU4LTRjMTQtYTkwNC1lMWFmOGZiNWRhZWLYAgHgAgE&ucfs=1&arphpl=1&checkin=2026-03-15&checkout=2026-03-16&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=0acd52c02f43013f&srepoch=1772365572&all_sr_blocks=1582862201_429402719_2_0_0&highlighted_blocks=1582862201_429402719_2_0_0&matching_block_id=1582862201_429402719_2_0_0&sr_pri_blocks=1582862201_429402719_2_0_0__5680&from=searchresults,Booking.com
Haile Resort Arbaminch,accommodation,,8,US$131,Arba Minch,N/A,https://www.booking.com/hotel/et/haile-resort-arbaminch.html?aid=304142&label=gen173nr-10CAQoggJCG3NlYXJjaF9hcmJhIG1pbmNoLCBldGhpb3BpYUgzWARoR4gBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCgM6QzQbAAgHSAiQ2YmQ2OTQ1Ni05NTU4LTRjMTQtYTkwNC1lMWFmOGZiNWRhZWLYAgHgAgE&ucfs=1&arphpl=1&checkin=2026-03-15&checkout=2026-03-16&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=0acd52c02f43013f&srepoch=1772365572&all_sr_blocks=358676501_348278405_0_41_0_378058&highlighted_blocks=358676501_348278405_0_41_0_378058&matching_block_id=358676501_348278405_0_41_0_378058&sr_pri_blocks=358676501_348278405_0_41_0_378058_13100&from=searchresults,Booking.com
