name,type,category,rating,price,address,review_score,link,source
Bekele Mola Hotel,hotels,ሆቴል,3.7,,,,https://www.google.com/maps/place/Bekele+Mola+Hotel/data=!4m10!3m9!1s0x17babb8639be0505:0xbf41706e024b6ea1!5m2!4m1!1i2!8m2!3d6.0062264!4d37.5509131!16s%2Fg%2F1td3nw9k!19sChIJBQW-OYa7uhcRoW5LAm5wQb8?authuser=0&hl=am&rclk=1,Google Maps
አርባ ስፕሪንግ ሆቴል,hotels,,3.8,,,,https://www.google.com/maps/place/%E1%8A%A0%E1%88%AD%E1%89%A3+%E1%88%B5%E1%8D%95%E1%88%AA%E1%8A%95%E1%8C%8D+%E1%88%86%E1%89%B4%E1%88%8D/data=!4m10!3m9!1s0x17babb85986f005b:0x71b66a83d4c08a91!5m2!4m1!1i2!8m2!3d6.0057631!4d37.545865!16s%2Fg%2F11cssw1_l5!19sChIJWwBvmIW7uhcRkYrA1INqtnE?authuser=0&hl=am&rclk=1,Google Maps
Saro Hotel,hotels,ሆቴል,4.5,,,,https://www.google.com/maps/place/Saro+Hotel/data=!4m10!3m9!1s0x17babb992a8acf27:0xc18daa96198e10df!5m2!4m1!1i2!8m2!3d6.0070807!4d37.5381126!16s%2Fg%2F11khcvk3ym!19sChIJJ8-KKpm7uhcR3xCOGZaqjcE?authuser=0&hl=am&rclk=1,Google Maps
Mulu View Hotel,hotels,hotels,2.7,,,,https://www.google.com/maps/place/Mulu+View+Hotel/data=!4m10!3m9!1s0x17babca76ce7d96b:0xefd3610cfed6b4e4!5m2!4m1!1i2!8m2!3d6.0357502!4d37.5546952!16s%2Fg%2F11dxddfm4m!19sChIJa9nnbKe8uhcR5LTW_gxh0-8?authuser=0&hl=am&rclk=1,Google Maps
Daros International Hotel,hotels,ሆቴል,4.6,,,,https://www.google.com/maps/place/Daros+International+Hotel/data=!4m10!3m9!1s0x17babd9228fbae2f:0x37ffe4da4923629b!5m2!4m1!1i2!8m2!3d6.0257928!4d37.5547503!16s%2Fg%2F11ltp6lc_5!19sChIJL677KJK9uhcRm2IjSdrk_zc?authuser=0&hl=am&rclk=1,Google Maps
Lambadina Hotel,hotels,hotels,3.9,,,,https://www.google.com/maps/place/Lambadina+Hotel/data=!4m10!3m9!1s0x17babc9dee124205:0x6fef1be3c7b4ba09!5m2!4m1!1i2!8m2!3d6.0249406!4d37.5541762!16s%2Fg%2F11c1xqdvbn!19sChIJBUIS7p28uhcRCbq0x-Mb728?authuser=0&hl=am&rclk=1,Google Maps
Arba Minch Guest House,hotels,የእንግዳዎች ማረፊያ,4.5,,,,https://www.google.com/maps/place/Arba+Minch+Guest+House/data=!4m10!3m9!1s0x17babb3a66ca7317:0x1283f4193878745e!5m2!4m1!1i2!8m2!3d6.0224955!4d37.5529636!16s%2Fg%2F11n0pjz8tj!19sChIJF3PKZjq7uhcRXnR4OBn0gxI?authuser=0&hl=am&rclk=1,Google Maps
AnjoNus Hotel,hotels,ሆቴል,4.3,,,,https://www.google.com/maps/place/AnjoNus+Hotel/data=!4m10!3m9!1s0x17babb4c9f97a855:0xd1225a61623d0165!5m2!4m1!1i2!8m2!3d6.0146177!4d37.5452494!16s%2Fg%2F11lfk85kck!19sChIJVaiXn0y7uhcRZQE9YmFaItE?authuser=0&hl=am&rclk=1,Google Maps
Arbaminch Eco campsite,hotels,የመስፈሪያ ቦታ,4.8,,,,https://www.google.com/maps/place/Arbaminch+Eco+campsite/data=!4m10!3m9!1s0x17babb3a0ab9e387:0x6661caa5b5172ef9!5m2!4m1!1i2!8m2!3d5.9948735!4d37.5391464!16s%2Fg%2F11lgkf4x1x!19sChIJh-O5Cjq7uhcR-S4XtaXKYWY?authuser=0&hl=am&rclk=1,Google Maps
Dorze Lodge,hotels,,4.3,,,,https://www.google.com/maps/place/Dorze+Lodge/data=!4m10!3m9!1s0x17baa09c2084723b:0x9aef7e9b67928ba1!5m2!4m1!1i2!8m2!3d6.1807355!4d37.5799436!16s%2Fg%2F11c5hj8sk3!19sChIJO3KEIJyguhcRoYuSZ5t-75o?authuser=0&hl=am&rclk=1,Google Maps
