name,types,categories,Google_Maps_link,Google_Maps_rating,TripAdvisor_link,TripAdvisor_rating,Bookingcom_link,Bookingcom_rating,Bookingcom_price,Bookingcom_address
Ethiopia Culture Tours,"tour agency, helicopter ride",Tour operator ·  · Bekele Mola Road,https://www.google.com/maps/place/Ethiopia+Culture+Tours/data=!4m7!3m6!1s0x17babb7a3742e12b:0xdb19d61a31a78370!8m2!3d6.0061903!4d37.5460363!16s%2Fg%2F11mvyt3r0n!19sChIJK-FCN3q7uhcRcIOnMRrWGds?authuser=0&hl=en&rclk=1,5.0(2),,,,,,
Canonis tours and travel,tour agency,Tourist information center · ,https://www.google.com/maps/place/Canonis+tours+and+travel/data=!4m7!3m6!1s0x17babd0031eaaefb:0x5368f141e5ff24c3!8m2!3d6.0136156!4d37.5550517!16s%2Fg%2F11y78x7g_l!19sChIJ-67qMQC9uhcRwyT_5UHxaFM?authuser=0&hl=en&rclk=1,5.0(2),,,,,,
Arbaminch car rental,car rental,,https://www.google.com/maps/place/Arbaminch+car+rental/data=!4m7!3m6!1s0x17babb001dfc0691:0xee919f57f49e4ea1!8m2!3d6.0112154!4d37.5389404!16s%2Fg%2F11zk1mz6_7!19sChIJkQb8HQC7uhcRoU6e9Fefke4?authuser=0&hl=en&rclk=1,,,,,,,
Tamrat Car Rent and Tour,car rental,Car rental agency,https://www.google.com/maps/place/Tamrat+Car+Rent+and+Tour/data=!4m7!3m6!1s0x17babd08f19b6c17:0x845e538ccc08bc40!8m2!3d6.0340068!4d37.5587813!16s%2Fg%2F11x7mc4529!19sChIJF2yb8Qi9uhcRQLwIzIxTXoQ?authuser=0&hl=en&rclk=1,4.8(5),,,,,,
Car Rental Arbaminch and Tour,car rental,Car rental agency,https://www.google.com/maps/place/Car+Rental+Arbaminch+and+Tour/data=!4m7!3m6!1s0x17babdb642d5fc23:0x33127776bfe8836b!8m2!3d6.0326732!4d37.5579779!16s%2Fg%2F11vyyslyx_!19sChIJI_zVQra9uhcRa4Pov3Z3EjM?authuser=0&hl=en&rclk=1,5.0(6),,,,,,
South region Arba minch,car rental,,https://www.google.com/maps/place/South+region+Arba+minch/data=!4m7!3m6!1s0x17babb00087cd987:0x653c8599a863c862!8m2!3d6.008814!4d37.5484193!16s%2Fg%2F11yczsfq9t!19sChIJh9l8CAC7uhcRYshjqJmFPGU?authuser=0&hl=en&rclk=1,,,,,,,
Wegders Omo Valley Tour & Car rent,boat rental,,https://www.google.com/maps/place/Wegders+Omo+Valley+Tour+%26+Car+rent/data=!4m7!3m6!1s0x17a39bf10cf21dbb:0xafd400faa0ae7188!8m2!3d6.0127922!4d37.5566946!16s%2Fg%2F11x7mp0qm9!19sChIJux3yDPGboxcRiHGuoPoA1K8?authuser=0&hl=en&rclk=1,,,,,,,
See Us Arba Minch Tour Guide Association,helicopter ride,,https://www.google.com/maps/place/See+Us+Arba+Minch+Tour+Guide+Association/data=!4m7!3m6!1s0x17babb1c517cea0f:0x44e1935b3c6e3250!8m2!3d6.008813!4d37.5390698!16s%2Fg%2F11hdggwy3_!19sChIJD-p8URy7uhcRUDJuPFuT4UQ?authuser=0&hl=en&rclk=1,4.0(5),,,,,,
40 Springs,helicopter ride,,https://www.google.com/maps/place/40+Springs/data=!4m7!3m6!1s0x17babddfa4fbf08b:0xcc0c648dfebe3a6!8m2!3d6.0040076!4d37.5557361!16s%2Fg%2F11rkf2zsf1!19sChIJi_D7pN-9uhcRpuPr30jGwAw?authuser=0&hl=en&rclk=1,4.2(34),,,,,,
Tekilu Keto,accommodation,,,,,,https://www.booking.com/hotel/et/tekilu-keto.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCG3NlYXJjaF9hcmJhIG1pbmNoLCBldGhpb3BpYUgzWARoR4gBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCuNaQzQbAAgHSAiRmOWY0ZTBiZS0yOWEyLTQyMTctODE4Zi1lNWJlYzg5YWM4OGbYAgHgAgE&ucfs=1&arphpl=1&checkin=2026-03-15&checkout=2026-03-16&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=c84b54dc754100a4&srepoch=1772366653&all_sr_blocks=1536407204_425117862_2_1_0&highlighted_blocks=1536407204_425117862_2_1_0&matching_block_id=1536407204_425117862_2_1_0&sr_pri_blocks=1536407204_425117862_2_1_0__1020&from=searchresults,,US$10,Arba Minch
